Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Total_Charging_Points
Easton Public Library,691 Morehouse Rd,Easton,24 hours daily,0,2,0,NONE,POINT (-73.297822 41.251966),2
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,0,0,16,NONE,POINT (-72.562282 41.80452),16
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily,0,2,0,NONE,POINT (-73.138786 41.988528),2
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 hours daily; for customer use only,0,1,0,NONE,POINT (-71.961361 41.37356200000001),1
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,0,4,0,NONE,POINT (-72.670609 41.929342),4
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F,0,1,0,NONE,POINT (-72.261825 41.811817),1
Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 hours daily,0,4,0,NONE,POINT (-72.560456 41.263416),4
Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours,0,1,0,NONE,POINT (-72.770648 41.649365),1
Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily,0,1,0,NONE,POINT (-72.195701 41.768396),1
WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,0,2,0,NONE,POINT (-73.1049768 41.8750604),2
TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily,0,2,0,NONE,POINT (-73.070231 41.7640244),2
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily,0,2,0,NONE,POINT (-72.065994 41.317722),2
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.6824246 41.5871612),2
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours,0,1,0,NONE,POINT (-73.230597 41.176442),1
Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours,0,1,0,NONE,POINT (-72.188445 41.728247),1
Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,24 hours daily,0,3,0,NONE,POINT (-72.43786 41.28006),3
North Haven PaviIion,100 Universal Dr,North Haven,24 hours daily,0,0,6,NONE,POINT (-72.870574 41.353572),6
UNION STATION,Union Ave and Union Station,New Haven,24 hours daily,0,10,0,NONE,POINT (-72.9270748 41.2975353),10
Torrington Town Hall,140 Main St,Torrington,24 hours daily,0,1,0,NONE,POINT (-73.12122300000001 41.803497),1
Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours,0,2,1,NONE,POINT (-72.894672 41.699374),3
Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only,0,1,0,NONE,POINT (-72.781436 41.296212),1
Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hours daily,0,1,0,NONE,POINT (-72.242231 41.800421),1
Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours,0,2,0,NONE,POINT (-72.507845 41.814316),2
City of Meriden - City Hall,142 E Main St,Meriden,24 hours daily,0,4,0,NONE,POINT (-72.797226 41.536236),4
City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 hours daily; permit lot,0,2,0,NONE,POINT (-72.948514 41.306474),2
City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hours daily,0,2,0,NONE,POINT (-72.796702 41.537218),2
Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 hours daily,0,2,0,NONE,POINT (-72.7788286 41.664356600000005),2
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access,0,2,0,NONE,POINT (-72.657682 41.287164),2
Brass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily,0,2,0,NONE,POINT (-73.02614 41.549361),2
Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 hours daily,0,2,0,NONE,POINT (-72.489406 41.983904),2
Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F,0,5,0,NONE,POINT (-72.684758 41.765434),5
Middletown School District - Moody School,300 Country Club Rd,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.711926 41.563917),2
Barberino Nissan,505 N Colony St,Wallingford,Dealership business hours,0,1,0,NONE,POINT (-72.817586 41.467376),1
CityPlace Garage,185 Asylum St,Hartford,Garage business hours,0,2,0,NONE,POINT (-72.676489 41.766656),2
CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 hours daily,0,2,0,NONE,POINT (-73.132624 41.198568),2
"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only,0,3,0,NONE,POINT (-71.906918 41.331744),3
"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,2,0,NONE,POINT (-73.35947443366 41.145215689458),2
STARWOOD,1 Star Point,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5318605 41.0409048),2
Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily,0,0,1,NONE,POINT (-73.117486 41.202742),1
Dunkin' Donuts - Tesla Supercharger,160 Kukas Lane,Waterbury,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-73.005613 41.53713),8
Crest Ford,218 Flanders Rd,Niantic,24 hours daily,0,1,0,NONE,POINT (-72.211435 41.354043),1
Central Connecticut State University - Sheridan Dorm Lot,65 Wells St,New Britain,24 hours daily,0,1,0,NONE,POINT (-72.762739 41.692973),1
LIBRARY KIOSK,24 Main St,New Milford,24 hours daily,0,1,0,NONE,POINT (-73.41116 41.5785572),1
Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 hours daily; for customer use only,0,3,0,NONE,POINT (-73.271401 41.203858),3
Summer Street Garage,100 Summer St,Stamford,Restricted to garage hours; pay lot,0,3,0,NONE,POINT (-73.541625 41.054155),3
MUNICIP STATION,3 Primrose St,Newtown,24 hours daily,0,2,0,NONE,POINT (-73.2847962 41.4007757),2
PURDUE PHARMA,201 Tresser Blvd,Stamford,24 hours daily,0,4,0,NONE,POINT (-73.53779 41.050574),4
Hartford High School,55 Forest St,Hartford,24 hours daily,0,2,0,NONE,POINT (-72.701271 41.765034),2
Bloomfield Town Hall,800 Bloomfield Avenue,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,0,2,0,NONE,POINT (-72.7373929 41.8298475),2
GUNNERY,16 Kirby Rd,Washington,24 hours daily,0,2,0,NONE,POINT (-73.3124 41.628033),2
University of Connecticut - Storrs Center Garage,33 Royce Cir,Storrs,24 hours daily,0,4,0,NONE,POINT (-72.2442218 41.8041965),4
JAGLRNH,521 Washington Ave,North Haven,24 hours daily,0,2,0,NONE,POINT (-72.8415278 41.4168397),2
Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 hours daily,0,4,0,NONE,POINT (-72.303231 41.953668),4
Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 hours daily,0,2,0,NONE,POINT (-72.722829 41.742975),2
Town of Newington - Market Square,90 Market Square,Newington,24 hours daily,0,4,0,NONE,POINT (-72.7214 41.6972),4
Riverfield School,1625 Mill Plain Rd,Fairfield,School hours,0,2,0,NONE,POINT (-73.267585 41.162306),2
Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,6am-12am daily,0,2,0,NONE,POINT (-72.670165 41.763287),2
The SoNo Collection,100 N Water St,Norwalk,6am-12am,0,10,0,NONE,POINT (-73.418883 41.104791),10
City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,24 hours daily; pay lot,0,2,0,NONE,POINT (-72.960178 41.327848),2
Riverview Cinemas 8 and Playhouse - Tesla Destination,690 Main St S,Southbury,24 hours daily; for customer use only,0,4,0,NONE,POINT (-73.230644 41.465044),4
The Ridgefield Playhouse,80 E Ridge Rd,Ridgefield,24 hours daily,0,2,0,NONE,POINT (-73.492605 41.282264),2
Meriden Station Garage,24 Colony St,Meriden,24 hours daily,0,3,0,NONE,POINT (-72.802667 41.539218),3
HONDA WESTPORT,1372 Post Rd E,Westport,24 hours daily,0,3,0,NONE,POINT (-73.317072 41.138623),3
FOXWOODS,350 Trolley Line Blvd,Mashantucket,24 hours daily,0,2,0,NONE,POINT (-71.9600027 41.4733521),2
TOWN HALL LOT,740 Main St,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.6446905 41.7660404),2
FOXWOODS,350 Trolley Line Blvd,Ledyard,24 hours daily,0,2,0,NONE,POINT (-71.9600034 41.4733358),2
Plainville High School,47 Robert Holcomb Way,Plainville,24 hours daily,0,1,0,NONE,POINT (-72.8580302 41.6659341),1
Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,24 hours daily; for Tesla use only,0,0,4,NONE,POINT (-73.504917 41.067306),4
Whole Foods Market,350 Grasmere Ave,Fairfield,8am-10pm daily; for customer use only; see inside for access,0,1,0,NONE,POINT (-73.240315 41.157925),1
Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwich,24 hours daily; for member use only; see valet for access,0,3,0,NONE,POINT (-73.709755 41.094294),3
Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee,0,2,0,NONE,POINT (-72.608573 41.27077),2
Newington Electric,72 Pane Rd,Newington,24 hours daily,0,3,0,NONE,POINT (-72.729203 41.65514),3
Premier Kia,205 N Main St,Branford,24 hours daily; priority for customer use,0,1,0,NONE,POINT (-72.809324 41.289894),1
The Shoppes at Fox Run 1,25 Welles St # 55,Glastonbury,24 hours daily,0,0,2,NONE,POINT (-72.608292 41.714088),2
NBCSG,98 Maher Rd,Stamford,24 hours daily,0,14,0,NONE,POINT (-73.516045 41.054321),14
EDENS BISHOPS,345 N Main St,West Hartford,24 hours daily,0,2,0,NONE,POINT (-72.7479436 41.784487),2
Propark - Water Street Garage,161 Water St,New London,Restricted to garage hours; pay lot,8,4,0,1 Conductive 120V,POINT (-72.093784 41.355486),12
Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,24 hours daily; for Tesla use only,0,0,14,NONE,POINT (-73.036133 41.238119),14
Manchester Honda,24 Adams St,Manchester,Dealership business hours,0,1,0,NONE,POINT (-72.552974 41.795898),1
New London Mall - Tesla Supercharger,369 N Frontage Rd,New London,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-72.119376 41.370726),8
Plainville Municipal Center,1 Central Square,Plainville,24 hours daily,0,1,0,NONE,POINT (-72.8670212999999 41.6717114),1
The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access,0,2,0,NONE,POINT (-72.932698 41.308741),2
Connecticut Science Center,250 Columbus Blvd,Hartford,6am-6pm daily,0,2,0,NONE,POINT (-72.668833 41.764376),2
Windham High School,355 High St,Windham,24 hours daily,0,2,0,NONE,POINT (-72.214432 41.723169),2
BIG Y FOODS,401 Bridgeport Ave,Shelton,24 hours daily,0,2,0,NONE,POINT (-73.11066 41.29434),2
WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 hours daily,0,1,0,NONE,POINT (-73.475576 41.3777667),1
I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,Madison,24 hours daily; Tesla users only,0,0,10,NONE,POINT (-72.5804966772461 41.2904885216395),10
Canton Town Hall,4 Market St,Canton,24 hours daily,0,2,0,NONE,POINT (-72.923177 41.811022),2
UNION STATION,50 Union Ave,New Haven,24 hours daily,0,2,0,NONE,POINT (-72.9263108 41.2974027),2
TOD,120 Main St,Durham,24 hours daily,0,2,0,NONE,POINT (-72.6809263 41.472228),2
Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,24 hours daily; for customer use only; see valet for access,0,3,0,NONE,POINT (-73.245943 41.146162),3
Andrew Ward School,755 Melville Ave,Fairfield,School hours,0,2,0,NONE,POINT (-73.234423 41.185685),2
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,8:30am-4:30pm M-F,0,2,0,NONE,POINT (-72.678633 41.763294),2
Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,Garage business hours; pay lot,0,1,0,NONE,POINT (-72.744596 41.759108000000005),1
Southington Public Library,255 Main St,Southington,24 hours daily,0,2,0,NONE,POINT (-72.877465 41.596225),2
NBCSG,84 Maher Rd,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5160406 41.053776),2
Paul Miller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours,0,1,1,NONE,POINT (-73.233711 41.167407),2
Town of New Fairfield - Town Hall,4 Brush Hill Rd,New Fairfield,24 hours daily,0,1,0,NONE,POINT (-73.487032 41.465514),1
Chip's Family Restaurant - Tesla Destination,321  Boston Post Rd,Orange,24 hours daily; for customer use only,0,2,0,NONE,POINT (-73.004741 41.2645),2
George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours,0,2,1,NONE,POINT (-72.968506 41.307602),3
STOP SHOP,148 Heights Rd,Darien,24 hours daily,0,0,1,NONE,POINT (-73.4948097 41.070243),1
East Shore District Health Department,688 E Main St,Branford,24 hours daily; 2 hour limit,0,6,0,NONE,POINT (-72.756902 41.305071),6
Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only,0,2,0,NONE,POINT (-73.472615 41.331117),2
Big Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily,0,1,0,NONE,POINT (-72.416634 41.28648200000001),1
Green Farms Plaza,1460 Post Rd E,Westport,24 hours daily,0,0,1,NONE,POINT (-73.314364 41.138478),1
Bridgeport Hospital,267 Grant St,Bridgeport,24 hours daily,0,2,0,NONE,POINT (-73.166282 41.190701),2
Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daily,0,1,0,NONE,POINT (-72.289249 41.956727),1
Constitution Plaza - South,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,0,1,0,NONE,POINT (-72.670032 41.767185),1
Coventry Town Hall,1712 Main St,Coventry,24 hours daily,0,2,0,NONE,POINT (-72.312334 41.780058),2
Curran Volkswagen,2785 Main St,Stratford,Dealership business hours,0,1,0,NONE,POINT (-73.131808 41.198467),1
644 West Putnam,644 West Putnam Avenue,Greenwich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,3,0,NONE,POINT (-73.6476069 41.016928),3
Grove Street Parking Garage,65 Grove Street,New Haven,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,2,0,NONE,POINT (-72.9217309 41.3103893),2
Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 hours daily; for customer use only; see valet for access,0,5,0,NONE,POINT (-72.08668800000001 41.488423),5
CVS West Haven,355 Campbell Ave,West Haven,24 hours daily,0,0,1,NONE,POINT (-72.948327 41.268415),1
Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,After 5pm daily,0,2,0,NONE,POINT (-72.766414 41.690789),2
City of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,24 hours daily; pay lot,0,2,0,NONE,POINT (-72.928864 41.305993),2
Figaro Restaurant,90 Elm St,Enfield,Restaurant business hours; for guest use only,0,1,0,NONE,POINT (-72.583384 41.997588),1
Middletown School District - Board of Education,311 Hunting Hill Ave,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.647076 41.541535),2
Mansfield Parking Garage,9 Dog Ln,Storrs,Garage business hours; pay lot,0,4,0,NONE,POINT (-72.243355 41.804877),4
Brass Mill Center - Entrance 6,495 Union St,Waterbury,6am-12pm daily,0,2,0,NONE,POINT (-73.026799 41.55022),2
Ellington Town Hall,55 Main St,Ellington,24 hours daily,0,2,0,NONE,POINT (-72.467484 41.903582),2
Fairfield Tennis Center,210 Old Dam Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.2665157 41.1247386999999),2
Trinity College,18-60 Crescent St,Hartford,24 hours daily,0,4,0,NONE,POINT (-72.689438 41.745582),4
Saugatuck Fire Station,Railroad Place,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,7,0,NONE,POINT (-73.370496 41.119206),7
COMCAST,222 New Park Dr,Berlin,24 hours daily,0,4,0,NONE,POINT (-72.749512 41.597163),4
Kent Town Hall,41 Kent Green Blvd,Kent,24 hours daily,0,2,0,NONE,POINT (-73.47251 41.727419),2
Dunkin' Donuts,1205 Tolland Tpke,Manchester,24 hours daily,0,0,1,NONE,POINT (-72.555059 41.797073),1
County Line Nissan - North,522 Winsted Rd,Torrington,Dealership business hours,0,1,0,NONE,POINT (-73.1107105 41.8269547),1
TOWN OF MADISON,761 Boston Post Rd,Madison,24 hours daily,0,2,0,NONE,POINT (-72.595184 41.28028400000001),2
Rocky Neck State Park,244 W Main St,Niantic,Dawn to dusk,0,2,0,NONE,POINT (-72.24323 41.300883),2
ELEMENT STATION,111 Morgan St,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5370682 41.0631099),2
Saybrook Point Marina,2 Bridge St,Old Saybrook,24 hours daily,0,1,0,NONE,POINT (-72.351019 41.283487),1
Town of Groton - Town Hall,45 Fort Hill Rd,Groton,24 hours daily,0,2,0,NONE,POINT (-72.033489 41.345816),2
Harte Nissan,165 W Service Rd,Hartford,Dealership business hours,0,1,1,NONE,POINT (-72.656681 41.791382000000006),2
Highland Park Market,317 Highland St,Manchester,24 hours daily,0,2,0,NONE,POINT (-72.490259 41.766005),2
Nissan - Norwich,691 W Thames St,Norwich,Dealership business hours; contact 860-892-6000 for more information,0,1,0,NONE,POINT (-72.097938 41.498591),1
Wesleyan University,56 Hamlin Ct,MIddletown,24 hours daily,2,0,0,NONE,POINT (-72.65242 41.557262),2
HAMPTON INN,129 Plains Rd,Milford,24 hours daily,0,0,4,NONE,POINT (-73.076682 41.22269),4
Aitoro Appliance,401 Westport Ave,Norwalk,Store business hours; see inside for access,0,1,0,NONE,POINT (-73.390319 41.126373),1
Putnam Downtown Municipal Parking Lot,165 Kennedy Dr,Putnam,24 hours daily,0,1,0,NONE,POINT (-71.9105761999999 41.914329),1
NYALA GAR 3,400 Nyala Farms Rd,Westport,24 hours daily,0,2,0,NONE,POINT (-73.3269248 41.1223426),2
WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 hours daily,0,2,0,NONE,POINT (-73.4755929 41.3781241),2
East Norwalk Library,51 Van Zant St,Norwalk,24 hours daily,0,4,0,NONE,POINT (-73.40565000000001 41.102079),4
Greenwich Southbound Travel Plaza - Tesla Supercharger,2000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,0,0,4,NONE,POINT (-73.673445 41.040555),4
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,24 hours daily; pay lot,2,2,0,1 Tesla Conductive,POINT (-72.927405 41.305794),4
Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 hours daily; for customer use only; see front desk for access,0,2,0,NONE,POINT (-72.025954 41.365919),2
Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,6am-12pm daily,0,2,0,NONE,POINT (-73.038159 41.235232),2
SPIREP,1 N Water St,Norwalk,24 hours daily,0,2,0,NONE,POINT (-73.4165867 41.0999699),2
Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,24 hours daily,0,2,0,NONE,POINT (-73.197598 41.990635),2
Waterford Commons,915 Hartford Turnpike,Waterford,24 hours daily,0,0,6,NONE,POINT (-72.150349 41.380138),6
Clinton Town Hall,54 E Main St,Clinton,24 hours daily,0,2,0,NONE,POINT (-72.524041 41.276743),2
Cargill Chevrolet,23 Livery St,Putnam,24 hours daily,0,3,0,NONE,POINT (-71.90810200000001 41.916161),3
Bedford Street Garage,17 Forest St,Stamford,Restricted to garage hours; pay lot,0,4,0,NONE,POINT (-73.537286 41.056092),4
Pomfret Town Hall,5 Haven Rd,Pomfret,24 hours daily,0,2,0,NONE,POINT (-71.9986079999999 41.859648),2
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 hours daily; for customer use only; see valet for access,0,3,0,NONE,POINT (-73.623525 41.017757),3
East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.602704 41.784813),2
Windham Municipal Parking Lot,48 Church St,Willimantic,24 hours daily,0,2,0,NONE,POINT (-72.211716 41.712492),2
Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 hours daily; for customer use only; see front desk for access,0,2,0,NONE,POINT (-73.225707 41.491538),2
Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,24 hours daily,0,2,0,NONE,POINT (-73.358893 41.140188),2
Morgan Street Garage,155 Morgan St,Hartford,24 hours daily,0,4,0,NONE,POINT (-72.672545 41.769974),4
NBCSG,Unnamed Road,Stamford,24 hours daily,0,8,0,NONE,POINT (-73.5160366 41.0532451),8
Napoli Nissan,688 Bridgeport Ave,Milford,Dealership business hours,0,1,0,NONE,POINT (-73.083686 41.209761),1
Congregational Church of Somersville,22 Maple St,Somersville,24 hours daily,0,2,0,NONE,POINT (-72.489406 41.983904),2
I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Darien,24 hours daily; Tesla users only,0,0,10,NONE,POINT (-73.462202 41.079848),10
Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,24 hours daily,0,2,0,NONE,POINT (-72.909054 41.359826),2
City of Milford - Parsons Government Center,70 W River St,Milford,24 hours daily,0,1,0,NONE,POINT (-73.062364 41.226575),1
Hoffman Nissan,46 Albany Turnpike,West Simsbury,Dealership business hours,0,1,0,NONE,POINT (-72.869319 41.820371),1
Premier Chevrolet,512 Providence Rd,Brooklyn,Dealership business hours,0,1,0,NONE,POINT (-71.906607 41.798222),1
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; for customer use only,0,2,0,NONE,POINT (-72.815676 41.45749),2
HONDADANBURY,102 Federal Rd,Danbury,24 hours daily,0,2,0,NONE,POINT (-73.4232598 41.4158651),2
Village Center,87 Main St,East Hampton,24 hours daily,0,1,0,NONE,POINT (-72.501947 41.575311),1
Connecticut Department of Corrections,38 Wolcott Hill Rd,Wethersfield,24 hours daily,0,2,0,NONE,POINT (-72.6724543999999 41.725002),2
Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,24 hours daily; for customer use only,0,3,0,NONE,POINT (-73.53513900000002 41.051614),3
Woodbridge Town Library,10 Newton Rd,Woodbridge,24 hours daily,0,2,0,NONE,POINT (-73.011407 41.353582),2
Waterworks - Tesla Destination,60 Backus Ave,Danbury,24 hours daily; for customer use only,0,2,0,NONE,POINT (-73.491965 41.370291),2
Town of East Haven,250 Main St,East Haven,24 hours daily,0,1,0,NONE,POINT (-72.871663 41.277368),1
DECORMIER NISS,30 Tolland Turnpike,Manchester,24 hours daily,0,0,1,NONE,POINT (-72.5090873 41.813843),1
Lia Nissan - Enfield,10 Palomba Dr,Enfield,Dealership business hours,0,1,0,NONE,POINT (-72.574713 41.997574),1
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-73.322808 42.024351),8
Lombard Ford,385 New Hartford Rd,Barkhamsted,Dealership business hours; customer use only,0,2,0,NONE,POINT (-73.042576 41.909753),2
Danbury Fair Mall,7 Backus Ave,Danbury,24 hours daily,0,0,2,NONE,POINT (-73.47904 41.380158),2
City of Milford - Public Library,57 New Haven Ave,Milford,24 hours daily,0,2,0,NONE,POINT (-73.053647 41.221934),2
Public Parking Lot,1 Morse Ct,New Canaan,Parking lot hours,0,1,0,NONE,POINT (-73.4924 41.1464),1
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,0,0,2,NONE,POINT (-73.009059 41.245823),2
TS,1 American Ln,Greenwich,24 hours daily,0,2,0,NONE,POINT (-73.7226456 41.0983971),2
Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily,0,2,0,NONE,POINT (-72.367191 41.65659),2
Roger Ludlowe School,689 Unquowa Rd,Fairfield,School hours,0,2,0,NONE,POINT (-73.261769 41.148757),2
Town of Hebron,15 Gilead St,Hebron,24 hours daily,0,2,0,NONE,POINT (-72.366742 41.658572),2
Southington Municipal Center,200 N Main St,Southington,24 hours daily,0,2,0,NONE,POINT (-72.87939 41.606301),2
Middletown School District - Middletown High School,200 LaRosa Ln,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.681921 41.576716),2
Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,24 hours daily,0,2,0,NONE,POINT (-72.009806 41.341893000000006),2
